═══ CARD INFORMATION ═══
Card Name,Latias Star
Set Name,Deoxys
Card Number,105/107
Rarity,Ultra Rare
TCGPlayer ID,86658
Current Market Price,$2300
Last Updated,2025-11-30T00:41:22.638Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Moderately Played,$2300,1
Regular,Damaged,$1050,3
Regular,Heavily Played,$798.99,1
Holofoil,Moderately Played,$2300,1
Holofoil,Damaged,$1050,3
Holofoil,Heavily Played,$798.99,1

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-01T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-01T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-02T00:00:00.000Z,Damaged,$274.95,0,Actual Sale
2024-12-02T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-02T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-03T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-03T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-03T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-04T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-04T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-04T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-05T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-05T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-05T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-06T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-06T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-06T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-07T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-07T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-07T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-08T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-08T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-08T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-09T00:00:00.000Z,Moderately Played,$900.78,1,Actual Sale
2024-12-09T00:00:00.000Z,Damaged,$274.95,0,Actual Sale
2024-12-09T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-10T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-10T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-10T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-11T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-11T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-11T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-12T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-12T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-12T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-13T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-13T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-13T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-14T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-14T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-14T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-15T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-15T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-15T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-16T00:00:00.000Z,Moderately Played,$900.78,0,Actual Sale
2024-12-16T00:00:00.000Z,Damaged,$274.95,0,Actual Sale
2024-12-16T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-17T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-17T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-17T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-18T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-18T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-18T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-19T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-19T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-19T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-20T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-20T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-20T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-21T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-21T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-21T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-22T21:58:40.988Z,Moderately Played,$900.78,0,Interpolated
2024-12-22T21:58:40.988Z,Damaged,$274.95,0,Interpolated
2024-12-22T21:58:40.988Z,Heavily Played,$798.99,0,Interpolated
2024-12-23T00:00:00.000Z,Moderately Played,$900.78,0,Actual Sale
