═══ CARD INFORMATION ═══
Card Name,Tyranitar (H28)
Set Name,Aquapolis
Card Number,H28/H32
Rarity,Holo Rare
TCGPlayer ID,90114
Current Market Price,$615.95
Last Updated,2025-11-30T23:04:51.176Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Moderately Played,$325.74,2
Regular,Lightly Played,$500,1
Regular,Heavily Played,$143.99,4
Regular,Damaged,$150,1
Regular,Near Mint,$615.95,3
Holofoil,Moderately Played,$325.74,2
Holofoil,Lightly Played,$500,1
Holofoil,Heavily Played,$143.99,4
Holofoil,Damaged,$150,1
Holofoil,Near Mint,$615.95,3

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-01T21:59:53.376Z,Lightly Played,$242.09,0,Interpolated
2024-12-01T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-01T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-01T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-02T00:00:00.000Z,Moderately Played,$166.98,1,Actual Sale
2024-12-02T00:00:00.000Z,Lightly Played,$242.09,0,Actual Sale
2024-12-02T00:00:00.000Z,Heavily Played,$109.99,0,Actual Sale
2024-12-02T00:00:00.000Z,Damaged,$60,0,Actual Sale
2024-12-02T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-03T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-03T21:59:53.376Z,Lightly Played,$242.09,0,Interpolated
2024-12-03T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-03T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-03T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-04T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-04T21:59:53.376Z,Lightly Played,$242.09,0,Interpolated
2024-12-04T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-04T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-04T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-05T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-05T21:59:53.376Z,Lightly Played,$242.09,0,Interpolated
2024-12-05T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-05T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-05T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-06T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-06T21:59:53.376Z,Lightly Played,$242.09,0,Interpolated
2024-12-06T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-06T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-06T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-07T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-07T21:59:53.376Z,Lightly Played,$242.09,0,Interpolated
2024-12-07T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-07T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-07T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-08T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-08T21:59:53.376Z,Lightly Played,$242.09,0,Interpolated
2024-12-08T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-08T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-08T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-09T00:00:00.000Z,Moderately Played,$166.98,0,Actual Sale
2024-12-09T00:00:00.000Z,Lightly Played,$242.09,0,Actual Sale
2024-12-09T00:00:00.000Z,Heavily Played,$109.99,0,Actual Sale
2024-12-09T00:00:00.000Z,Damaged,$60,0,Actual Sale
2024-12-09T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-10T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-10T21:59:53.376Z,Lightly Played,$244.66,0,Interpolated
2024-12-10T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-10T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-10T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-11T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-11T21:59:53.376Z,Lightly Played,$246,0,Interpolated
2024-12-11T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-11T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-11T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-12T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-12T21:59:53.376Z,Lightly Played,$247.34,0,Interpolated
2024-12-12T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-12T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-12T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-13T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-13T21:59:53.376Z,Lightly Played,$248.68,0,Interpolated
2024-12-13T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-13T21:59:53.376Z,Damaged,$60,0,Interpolated
2024-12-13T21:59:53.376Z,Near Mint,$615.95,0,Interpolated
2024-12-14T21:59:53.376Z,Moderately Played,$166.98,0,Interpolated
2024-12-14T21:59:53.376Z,Lightly Played,$250.02,0,Interpolated
2024-12-14T21:59:53.376Z,Heavily Played,$109.99,0,Interpolated
2024-12-14T21:59:53.376Z,Damaged,$60,0,Interpolated
