═══ CARD INFORMATION ═══
Card Name,Pikachu - 027 (Pokemon Center Exclusive)
Set Name,SV: Scarlet & Violet Promo Cards
Card Number,027
Rarity,Promo
TCGPlayer ID,500264
Current Market Price,$139.57
Last Updated,2025-11-30T19:59:57.970Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Near Mint,$139.57,151
Regular,Moderately Played,$53.32,4
Regular,Lightly Played,$75.11,21
Regular,Damaged,$49.99,2
Regular,Heavily Played,$69.99,1
Holofoil,Near Mint,$139.57,151
Holofoil,Moderately Played,$53.32,4
Holofoil,Lightly Played,$75.11,21
Holofoil,Damaged,$49.99,2
Holofoil,Heavily Played,$69.99,1

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:58:23.172Z,Near Mint,$68.69,0,Interpolated
2024-12-01T21:58:23.172Z,Moderately Played,$14.99,0,Interpolated
2024-12-01T21:58:23.172Z,Lightly Played,$34.74,0,Interpolated
2024-12-01T21:58:23.172Z,Damaged,$49.99,0,Interpolated
2024-12-01T21:58:23.172Z,Heavily Played,$69.99,0,Interpolated
2024-12-02T00:00:00.000Z,Near Mint,$68.69,6,Actual Sale
2024-12-02T00:00:00.000Z,Moderately Played,$14.99,0,Actual Sale
2024-12-02T00:00:00.000Z,Lightly Played,$34.74,0,Actual Sale
2024-12-02T21:58:23.172Z,Damaged,$49.99,0,Interpolated
2024-12-02T21:58:23.172Z,Heavily Played,$69.99,0,Interpolated
2024-12-03T21:58:23.172Z,Near Mint,$69.59,0,Interpolated
2024-12-03T21:58:23.172Z,Moderately Played,$18.41,0,Interpolated
2024-12-03T21:58:23.172Z,Lightly Played,$35.25,0,Interpolated
2024-12-03T21:58:23.172Z,Damaged,$49.99,0,Interpolated
2024-12-03T21:58:23.172Z,Heavily Played,$69.99,0,Interpolated
2024-12-04T21:58:23.172Z,Near Mint,$70.06,0,Interpolated
2024-12-04T21:58:23.172Z,Moderately Played,$20.2,0,Interpolated
2024-12-04T21:58:23.172Z,Lightly Played,$35.52,0,Interpolated
2024-12-04T21:58:23.172Z,Damaged,$49.99,0,Interpolated
