═══ CARD INFORMATION ═══
Card Name,M Gyarados EX (Full Art)
Set Name,XY - BREAKpoint
Card Number,115/122
Rarity,Ultra Rare
TCGPlayer ID,111533
Current Market Price,$117.01
Last Updated,2025-11-30T01:55:17.222Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Heavily Played,$42.24,1
Regular,Damaged,$32.47,4
Regular,Moderately Played,$52.23,3
Regular,Near Mint,$117.01,4
Regular,Lightly Played,$80.47,3
Holofoil,Heavily Played,$42.24,1
Holofoil,Damaged,$32.47,4
Holofoil,Moderately Played,$52.23,3
Holofoil,Near Mint,$117.01,4
Holofoil,Lightly Played,$80.47,3

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-01T21:59:46.237Z,Damaged,$9.16,0,Interpolated
2024-12-01T21:59:46.237Z,Moderately Played,$18.56,0,Interpolated
2024-12-01T21:59:46.237Z,Near Mint,$38.99,0,Interpolated
2024-12-01T21:59:46.237Z,Lightly Played,$26.98,0,Interpolated
2024-12-02T00:00:00.000Z,Heavily Played,$12.6,0,Actual Sale
2024-12-02T00:00:00.000Z,Damaged,$9.16,0,Actual Sale
2024-12-02T00:00:00.000Z,Moderately Played,$18.56,1,Actual Sale
2024-12-02T00:00:00.000Z,Near Mint,$38.99,4,Actual Sale
2024-12-02T00:00:00.000Z,Lightly Played,$26.98,5,Actual Sale
2024-12-03T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-03T21:59:46.237Z,Damaged,$9.31,0,Interpolated
2024-12-03T21:59:46.237Z,Moderately Played,$18.54,0,Interpolated
2024-12-03T21:59:46.237Z,Near Mint,$39.03,0,Interpolated
2024-12-03T21:59:46.237Z,Lightly Played,$27.02,0,Interpolated
2024-12-04T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-04T21:59:46.237Z,Damaged,$9.38,0,Interpolated
2024-12-04T21:59:46.237Z,Moderately Played,$18.53,0,Interpolated
2024-12-04T21:59:46.237Z,Near Mint,$39.06,0,Interpolated
2024-12-04T21:59:46.237Z,Lightly Played,$27.05,0,Interpolated
2024-12-05T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-05T21:59:46.237Z,Damaged,$9.46,0,Interpolated
2024-12-05T21:59:46.237Z,Moderately Played,$18.52,0,Interpolated
2024-12-05T21:59:46.237Z,Near Mint,$39.08,0,Interpolated
2024-12-05T21:59:46.237Z,Lightly Played,$27.07,0,Interpolated
2024-12-06T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-06T21:59:46.237Z,Damaged,$9.54,0,Interpolated
2024-12-06T21:59:46.237Z,Moderately Played,$18.5,0,Interpolated
2024-12-06T21:59:46.237Z,Near Mint,$39.1,0,Interpolated
2024-12-06T21:59:46.237Z,Lightly Played,$27.09,0,Interpolated
2024-12-07T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-07T21:59:46.237Z,Damaged,$9.62,0,Interpolated
2024-12-07T21:59:46.237Z,Moderately Played,$18.49,0,Interpolated
2024-12-07T21:59:46.237Z,Near Mint,$39.13,0,Interpolated
2024-12-07T21:59:46.237Z,Lightly Played,$27.12,0,Interpolated
2024-12-08T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-08T21:59:46.237Z,Damaged,$9.69,0,Interpolated
2024-12-08T21:59:46.237Z,Moderately Played,$18.48,0,Interpolated
2024-12-08T21:59:46.237Z,Near Mint,$39.15,0,Interpolated
2024-12-08T21:59:46.237Z,Lightly Played,$27.14,0,Interpolated
2024-12-09T00:00:00.000Z,Heavily Played,$12.6,0,Actual Sale
2024-12-09T00:00:00.000Z,Damaged,$9.7,3,Actual Sale
2024-12-09T00:00:00.000Z,Moderately Played,$18.48,3,Actual Sale
2024-12-09T00:00:00.000Z,Near Mint,$39.15,0,Actual Sale
2024-12-09T00:00:00.000Z,Lightly Played,$27.14,1,Actual Sale
2024-12-10T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-10T21:59:46.237Z,Damaged,$9.7,0,Interpolated
2024-12-10T21:59:46.237Z,Moderately Played,$18.48,0,Interpolated
2024-12-10T21:59:46.237Z,Near Mint,$39.34,0,Interpolated
2024-12-10T21:59:46.237Z,Lightly Played,$27.14,0,Interpolated
2024-12-11T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-11T21:59:46.237Z,Damaged,$9.7,0,Interpolated
2024-12-11T21:59:46.237Z,Moderately Played,$18.48,0,Interpolated
2024-12-11T21:59:46.237Z,Near Mint,$39.44,0,Interpolated
2024-12-11T21:59:46.237Z,Lightly Played,$27.14,0,Interpolated
2024-12-12T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-12T21:59:46.237Z,Damaged,$9.7,0,Interpolated
2024-12-12T21:59:46.237Z,Moderately Played,$18.48,0,Interpolated
2024-12-12T21:59:46.237Z,Near Mint,$39.54,0,Interpolated
2024-12-12T21:59:46.237Z,Lightly Played,$27.14,0,Interpolated
2024-12-13T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-13T21:59:46.237Z,Damaged,$9.7,0,Interpolated
2024-12-13T21:59:46.237Z,Moderately Played,$18.48,0,Interpolated
2024-12-13T21:59:46.237Z,Near Mint,$39.64,0,Interpolated
2024-12-13T21:59:46.237Z,Lightly Played,$27.14,0,Interpolated
2024-12-14T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-14T21:59:46.237Z,Damaged,$9.7,0,Interpolated
2024-12-14T21:59:46.237Z,Moderately Played,$18.48,0,Interpolated
2024-12-14T21:59:46.237Z,Near Mint,$39.74,0,Interpolated
2024-12-14T21:59:46.237Z,Lightly Played,$27.14,0,Interpolated
2024-12-15T21:59:46.237Z,Heavily Played,$12.6,0,Interpolated
2024-12-15T21:59:46.237Z,Damaged,$9.7,0,Interpolated
2024-12-15T21:59:46.237Z,Moderately Played,$18.48,0,Interpolated
2024-12-15T21:59:46.237Z,Near Mint,$39.84,0,Interpolated
2024-12-15T21:59:46.237Z,Lightly Played,$27.14,0,Interpolated
2024-12-16T00:00:00.000Z,Heavily Played,$12.6,0,Actual Sale
