═══ CARD INFORMATION ═══
Card Name,Pikachu Star
Set Name,Holon Phantoms
Card Number,104/110
Rarity,Ultra Rare
TCGPlayer ID,88111
Current Market Price,$2032.82
Last Updated,2025-11-29T23:34:22.200Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Damaged,$429.99,1
Regular,Moderately Played,$994.99,3
Regular,Near Mint,$2032.82,5
Regular,Lightly Played,$999.99,0
Holofoil,Damaged,$429.99,1
Holofoil,Moderately Played,$994.99,3
Holofoil,Near Mint,$2032.82,5
Holofoil,Lightly Played,$999.99,0

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:58:37.539Z,Damaged,$359.15,0,Interpolated
2024-12-01T21:58:37.539Z,Moderately Played,$617.3,0,Interpolated
2024-12-01T21:58:37.539Z,Near Mint,$215,0,Interpolated
2024-12-01T21:58:37.539Z,Lightly Played,$999.99,0,Interpolated
2024-12-02T00:00:00.000Z,Damaged,$359.15,1,Actual Sale
2024-12-02T00:00:00.000Z,Moderately Played,$617.3,1,Actual Sale
2024-12-02T00:00:00.000Z,Near Mint,$215,0,Actual Sale
2024-12-02T00:00:00.000Z,Lightly Played,$999.99,0,Actual Sale
2024-12-03T21:58:37.539Z,Damaged,$366.1,0,Interpolated
2024-12-03T21:58:37.539Z,Moderately Played,$617.3,0,Interpolated
2024-12-03T21:58:37.539Z,Near Mint,$215,0,Interpolated
2024-12-03T21:58:37.539Z,Lightly Played,$999.99,0,Interpolated
2024-12-04T21:58:37.539Z,Damaged,$369.73,0,Interpolated
2024-12-04T21:58:37.539Z,Moderately Played,$617.3,0,Interpolated
2024-12-04T21:58:37.539Z,Near Mint,$215,0,Interpolated
2024-12-04T21:58:37.539Z,Lightly Played,$999.99,0,Interpolated
2024-12-05T21:58:37.539Z,Damaged,$373.36,0,Interpolated
2024-12-05T21:58:37.539Z,Moderately Played,$617.3,0,Interpolated
2024-12-05T21:58:37.539Z,Near Mint,$215,0,Interpolated
2024-12-05T21:58:37.539Z,Lightly Played,$999.99,0,Interpolated
2024-12-06T21:58:37.539Z,Damaged,$376.99,0,Interpolated
2024-12-06T21:58:37.539Z,Moderately Played,$617.3,0,Interpolated
2024-12-06T21:58:37.539Z,Near Mint,$215,0,Interpolated
2024-12-06T21:58:37.539Z,Lightly Played,$999.99,0,Interpolated
2024-12-07T21:58:37.539Z,Damaged,$380.62,0,Interpolated
2024-12-07T21:58:37.539Z,Moderately Played,$617.3,0,Interpolated
2024-12-07T21:58:37.539Z,Near Mint,$215,0,Interpolated
2024-12-07T21:58:37.539Z,Lightly Played,$999.99,0,Interpolated
2024-12-08T21:58:37.539Z,Damaged,$384.25,0,Interpolated
2024-12-08T21:58:37.539Z,Moderately Played,$617.3,0,Interpolated
2024-12-08T21:58:37.539Z,Near Mint,$215,0,Interpolated
2024-12-08T21:58:37.539Z,Lightly Played,$999.99,0,Interpolated
2024-12-09T00:00:00.000Z,Damaged,$384.56,0,Actual Sale
2024-12-09T00:00:00.000Z,Moderately Played,$617.3,0,Actual Sale
