═══ CARD INFORMATION ═══
Card Name,Pidgeot (23)
Set Name,Expedition
Card Number,023/165
Rarity,Holo Rare
TCGPlayer ID,88027
Current Market Price,$44.96
Last Updated,2025-12-01T20:46:49.556Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Moderately Played,$25.7,3
Regular,Lightly Played,$43.76,3
Regular,Damaged,$21.03,3
Regular,Near Mint,$44.96,1
Regular,Heavily Played,$29.99,1
Holofoil,Moderately Played,$49.89,8
Holofoil,Lightly Played,$55.38,1
Holofoil,Near Mint,$69.67,4
Holofoil,Damaged,$21.03,3
Holofoil,Heavily Played,$32.95,7
Reverse Holofoil,Damaged,$15,1
Reverse Holofoil,Near Mint,$44.96,1
Reverse Holofoil,Moderately Played,$25.7,3
Reverse Holofoil,Lightly Played,$43.76,3
Reverse Holofoil,Heavily Played,$29.99,1

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-01T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-01T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-01T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-01T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-02T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-02T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-02T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-02T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-02T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-03T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-03T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-03T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-03T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-03T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-04T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-04T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-04T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-04T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-04T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-05T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-05T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-05T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-05T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-05T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-06T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-06T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-06T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-06T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-06T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-07T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-07T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-07T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-07T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-07T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-08T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-08T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-08T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-08T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-08T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-09T00:00:00.000Z,Damaged,$18.41,0,Actual Sale
2024-12-09T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-09T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-09T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-09T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-10T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-10T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-10T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-10T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-10T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
2024-12-11T21:59:32.265Z,Moderately Played,$25.7,0,Interpolated
2024-12-11T21:59:32.265Z,Lightly Played,$43.76,0,Interpolated
2024-12-11T21:59:32.265Z,Damaged,$18.41,0,Interpolated
2024-12-11T21:59:32.265Z,Near Mint,$44.96,0,Interpolated
2024-12-11T21:59:32.265Z,Heavily Played,$29.99,0,Interpolated
