═══ CARD INFORMATION ═══
Card Name,Charizard V (Alternate Full Art)
Set Name,SWSH09: Brilliant Stars
Card Number,154/172
Rarity,Ultra Rare
TCGPlayer ID,263873
Current Market Price,$260.89
Last Updated,2025-12-01T04:47:28.854Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Lightly Played,$231.58,6
Regular,Damaged,$104.11,3
Regular,Moderately Played,$179.97,4
Regular,Near Mint,$260.89,49
Regular,Heavily Played,$123.58,0
Holofoil,Lightly Played,$231.58,6
Holofoil,Damaged,$104.11,3
Holofoil,Moderately Played,$179.97,4
Holofoil,Near Mint,$260.89,49
Holofoil,Heavily Played,$123.58,0

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:58:01.695Z,Lightly Played,$135.49,0,Interpolated
2024-12-01T21:58:01.695Z,Damaged,$64.33,0,Interpolated
2024-12-01T21:58:01.695Z,Moderately Played,$101.06,0,Interpolated
2024-12-01T21:58:01.695Z,Near Mint,$182.72,0,Interpolated
2024-12-01T21:58:01.695Z,Heavily Played,$82.3,0,Interpolated
2024-12-02T21:58:01.695Z,Lightly Played,$135.49,0,Interpolated
2024-12-02T21:58:01.695Z,Damaged,$64.33,0,Interpolated
2024-12-02T21:58:01.695Z,Moderately Played,$101.06,0,Interpolated
2024-12-02T21:58:01.695Z,Near Mint,$182.72,0,Interpolated
2024-12-02T21:58:01.695Z,Heavily Played,$82.3,0,Interpolated
2024-12-03T21:58:01.695Z,Lightly Played,$135.49,0,Interpolated
2024-12-03T21:58:01.695Z,Damaged,$64.33,0,Interpolated
2024-12-03T21:58:01.695Z,Moderately Played,$101.06,0,Interpolated
2024-12-03T21:58:01.695Z,Near Mint,$182.72,0,Interpolated
2024-12-03T21:58:01.695Z,Heavily Played,$82.3,0,Interpolated
2024-12-04T21:58:01.695Z,Lightly Played,$135.49,0,Interpolated
2024-12-04T21:58:01.695Z,Damaged,$64.33,0,Interpolated
2024-12-04T21:58:01.695Z,Moderately Played,$101.06,0,Interpolated
2024-12-04T21:58:01.695Z,Near Mint,$182.72,0,Interpolated
2024-12-04T21:58:01.695Z,Heavily Played,$82.3,0,Interpolated
2024-12-05T21:58:01.695Z,Lightly Played,$135.49,0,Interpolated
2024-12-05T21:58:01.695Z,Damaged,$64.33,0,Interpolated
2024-12-05T21:58:01.695Z,Moderately Played,$101.06,0,Interpolated
2024-12-05T21:58:01.695Z,Near Mint,$182.72,0,Interpolated
2024-12-05T21:58:01.695Z,Heavily Played,$82.3,0,Interpolated
2024-12-06T21:58:01.695Z,Lightly Played,$135.49,0,Interpolated
2024-12-06T21:58:01.695Z,Damaged,$64.33,0,Interpolated
2024-12-06T21:58:01.695Z,Moderately Played,$101.06,0,Interpolated
2024-12-06T21:58:01.695Z,Near Mint,$182.72,0,Interpolated
2024-12-06T21:58:01.695Z,Heavily Played,$82.3,0,Interpolated
2024-12-07T21:58:01.695Z,Lightly Played,$135.49,0,Interpolated
2024-12-07T21:58:01.695Z,Damaged,$64.33,0,Interpolated
2024-12-07T21:58:01.695Z,Moderately Played,$101.06,0,Interpolated
2024-12-07T21:58:01.695Z,Near Mint,$182.72,0,Interpolated
2024-12-07T21:58:01.695Z,Heavily Played,$82.3,0,Interpolated
2024-12-08T21:58:01.695Z,Lightly Played,$135.49,0,Interpolated
2024-12-08T21:58:01.695Z,Damaged,$64.33,0,Interpolated
2024-12-08T21:58:01.695Z,Moderately Played,$101.06,0,Interpolated
