═══ CARD INFORMATION ═══
Card Name,Flying Pikachu VMAX
Set Name,Celebrations
Card Number,007/025
Rarity,Ultra Rare
TCGPlayer ID,250305
Current Market Price,$5.42
Last Updated,2025-12-01T05:18:02.113Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Near Mint,$5.42,691
Regular,Moderately Played,$4.76,3
Regular,Damaged,$2.43,4
Regular,Lightly Played,$4.32,63
Regular,Heavily Played,$3.15,1
Holofoil,Near Mint,$5.42,691
Holofoil,Moderately Played,$4.76,3
Holofoil,Damaged,$2.43,4
Holofoil,Lightly Played,$4.32,63
Holofoil,Heavily Played,$3.15,1

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:58:30.275Z,Near Mint,$2.11,0,Interpolated
2024-12-01T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-01T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-01T21:58:30.275Z,Lightly Played,$1.69,0,Interpolated
2024-12-01T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-02T21:58:30.275Z,Near Mint,$2.11,0,Interpolated
2024-12-02T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-02T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-02T21:58:30.275Z,Lightly Played,$1.69,0,Interpolated
2024-12-02T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-03T21:58:30.275Z,Near Mint,$2.11,0,Interpolated
2024-12-03T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-03T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-03T21:58:30.275Z,Lightly Played,$1.69,0,Interpolated
2024-12-03T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-04T21:58:30.275Z,Near Mint,$2.11,0,Interpolated
2024-12-04T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-04T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-04T21:58:30.275Z,Lightly Played,$1.69,0,Interpolated
2024-12-04T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-05T21:58:30.275Z,Near Mint,$2.11,0,Interpolated
2024-12-05T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-05T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-05T21:58:30.275Z,Lightly Played,$1.69,0,Interpolated
2024-12-05T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-06T21:58:30.275Z,Near Mint,$2.11,0,Interpolated
2024-12-06T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-06T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-06T21:58:30.275Z,Lightly Played,$1.69,0,Interpolated
2024-12-06T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-07T21:58:30.275Z,Near Mint,$2.11,0,Interpolated
2024-12-07T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-07T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-07T21:58:30.275Z,Lightly Played,$1.69,0,Interpolated
2024-12-07T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-08T21:58:30.275Z,Near Mint,$2.11,0,Interpolated
2024-12-08T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-08T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-08T21:58:30.275Z,Lightly Played,$1.69,0,Interpolated
2024-12-08T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-09T00:00:00.000Z,Near Mint,$2.11,114,Actual Sale
2024-12-09T00:00:00.000Z,Moderately Played,$1.32,1,Actual Sale
2024-12-09T00:00:00.000Z,Damaged,$0.74,1,Actual Sale
2024-12-09T00:00:00.000Z,Lightly Played,$1.69,14,Actual Sale
2024-12-09T00:00:00.000Z,Heavily Played,$0.9,0,Actual Sale
2024-12-10T21:58:30.275Z,Near Mint,$2.1,0,Interpolated
2024-12-10T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-10T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-10T21:58:30.275Z,Lightly Played,$1.71,0,Interpolated
2024-12-10T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-11T21:58:30.275Z,Near Mint,$2.1,0,Interpolated
2024-12-11T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-11T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-11T21:58:30.275Z,Lightly Played,$1.72,0,Interpolated
2024-12-11T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-12T21:58:30.275Z,Near Mint,$2.09,0,Interpolated
2024-12-12T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-12T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-12T21:58:30.275Z,Lightly Played,$1.73,0,Interpolated
2024-12-12T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-13T21:58:30.275Z,Near Mint,$2.09,0,Interpolated
2024-12-13T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-13T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-13T21:58:30.275Z,Lightly Played,$1.74,0,Interpolated
2024-12-13T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-14T21:58:30.275Z,Near Mint,$2.08,0,Interpolated
2024-12-14T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-14T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-14T21:58:30.275Z,Lightly Played,$1.75,0,Interpolated
2024-12-14T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-15T21:58:30.275Z,Near Mint,$2.08,0,Interpolated
2024-12-15T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-15T21:58:30.275Z,Damaged,$0.74,0,Interpolated
2024-12-15T21:58:30.275Z,Lightly Played,$1.76,0,Interpolated
2024-12-15T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-16T00:00:00.000Z,Near Mint,$2.08,246,Actual Sale
2024-12-16T00:00:00.000Z,Moderately Played,$1.32,0,Actual Sale
2024-12-16T00:00:00.000Z,Damaged,$0.74,1,Actual Sale
2024-12-16T00:00:00.000Z,Lightly Played,$1.76,2,Actual Sale
2024-12-16T00:00:00.000Z,Heavily Played,$0.9,0,Actual Sale
2024-12-17T21:58:30.275Z,Near Mint,$2.2,0,Interpolated
2024-12-17T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-17T21:58:30.275Z,Damaged,$0.73,0,Interpolated
2024-12-17T21:58:30.275Z,Lightly Played,$1.74,0,Interpolated
2024-12-17T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-18T21:58:30.275Z,Near Mint,$2.26,0,Interpolated
2024-12-18T21:58:30.275Z,Moderately Played,$1.32,0,Interpolated
2024-12-18T21:58:30.275Z,Damaged,$0.72,0,Interpolated
2024-12-18T21:58:30.275Z,Lightly Played,$1.74,0,Interpolated
2024-12-18T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-19T21:58:30.275Z,Near Mint,$2.32,0,Interpolated
2024-12-19T21:58:30.275Z,Moderately Played,$1.33,0,Interpolated
2024-12-19T21:58:30.275Z,Damaged,$0.71,0,Interpolated
2024-12-19T21:58:30.275Z,Lightly Played,$1.73,0,Interpolated
2024-12-19T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-20T21:58:30.275Z,Near Mint,$2.38,0,Interpolated
2024-12-20T21:58:30.275Z,Moderately Played,$1.33,0,Interpolated
2024-12-20T21:58:30.275Z,Damaged,$0.7,0,Interpolated
2024-12-20T21:58:30.275Z,Lightly Played,$1.72,0,Interpolated
2024-12-20T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-21T21:58:30.275Z,Near Mint,$2.44,0,Interpolated
2024-12-21T21:58:30.275Z,Moderately Played,$1.33,0,Interpolated
2024-12-21T21:58:30.275Z,Damaged,$0.7,0,Interpolated
2024-12-21T21:58:30.275Z,Lightly Played,$1.71,0,Interpolated
2024-12-21T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-22T21:58:30.275Z,Near Mint,$2.5,0,Interpolated
2024-12-22T21:58:30.275Z,Moderately Played,$1.33,0,Interpolated
2024-12-22T21:58:30.275Z,Damaged,$0.69,0,Interpolated
2024-12-22T21:58:30.275Z,Lightly Played,$1.7,0,Interpolated
2024-12-22T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-23T00:00:00.000Z,Near Mint,$2.51,128,Actual Sale
2024-12-23T00:00:00.000Z,Moderately Played,$1.33,0,Actual Sale
2024-12-23T00:00:00.000Z,Damaged,$0.69,2,Actual Sale
2024-12-23T00:00:00.000Z,Lightly Played,$1.7,14,Actual Sale
2024-12-23T00:00:00.000Z,Heavily Played,$0.9,1,Actual Sale
2024-12-24T21:58:30.275Z,Near Mint,$2.58,0,Interpolated
2024-12-24T21:58:30.275Z,Moderately Played,$1.37,0,Interpolated
2024-12-24T21:58:30.275Z,Damaged,$0.69,0,Interpolated
2024-12-24T21:58:30.275Z,Lightly Played,$1.75,0,Interpolated
2024-12-24T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-25T21:58:30.275Z,Near Mint,$2.61,0,Interpolated
2024-12-25T21:58:30.275Z,Moderately Played,$1.4,0,Interpolated
2024-12-25T21:58:30.275Z,Damaged,$0.69,0,Interpolated
2024-12-25T21:58:30.275Z,Lightly Played,$1.78,0,Interpolated
2024-12-25T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-26T21:58:30.275Z,Near Mint,$2.65,0,Interpolated
2024-12-26T21:58:30.275Z,Moderately Played,$1.42,0,Interpolated
2024-12-26T21:58:30.275Z,Damaged,$0.69,0,Interpolated
2024-12-26T21:58:30.275Z,Lightly Played,$1.81,0,Interpolated
2024-12-26T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-27T21:58:30.275Z,Near Mint,$2.69,0,Interpolated
2024-12-27T21:58:30.275Z,Moderately Played,$1.44,0,Interpolated
2024-12-27T21:58:30.275Z,Damaged,$0.69,0,Interpolated
2024-12-27T21:58:30.275Z,Lightly Played,$1.84,0,Interpolated
2024-12-27T21:58:30.275Z,Heavily Played,$0.9,0,Interpolated
2024-12-28T21:58:30.275Z,Near Mint,$2.72,0,Interpolated
2024-12-28T21:58:30.275Z,Moderately Played,$1.47,0,Interpolated
2024-12-28T21:58:30.275Z,Damaged,$0.69,0,Interpolated
