═══ CARD INFORMATION ═══
Card Name,Lapras
Set Name,Skyridge
Card Number,071/144
Rarity,Common
TCGPlayer ID,86616
Current Market Price,$152.88
Last Updated,2025-11-30T00:55:20.144Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Near Mint,$152.88,1
Regular,Moderately Played,$8.79,14
Regular,Damaged,$80,1
Regular,Lightly Played,$12.43,21
Regular,Heavily Played,$36.8,0
Normal,Near Mint,$21.15,19
Normal,Moderately Played,$8.79,14
Normal,Damaged,$5.08,3
Normal,Heavily Played,$6.59,9
Normal,Lightly Played,$12.43,21
Reverse Holofoil,Lightly Played,$122.33,3
Reverse Holofoil,Near Mint,$152.88,1
Reverse Holofoil,Heavily Played,$36.8,0
Reverse Holofoil,Damaged,$80,1

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-01T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-01T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-01T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-01T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-02T00:00:00.000Z,Moderately Played,$6.7,0,Actual Sale
2024-12-02T00:00:00.000Z,Lightly Played,$6.53,1,Actual Sale
2024-12-02T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-02T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-02T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-03T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-03T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-03T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-03T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-03T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-04T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-04T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-04T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-04T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-04T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-05T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-05T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-05T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-05T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-05T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-06T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-06T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-06T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-06T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-06T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-07T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-07T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-07T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-07T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-07T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-08T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-08T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-08T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-08T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-08T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-09T00:00:00.000Z,Moderately Played,$6.7,0,Actual Sale
2024-12-09T00:00:00.000Z,Lightly Played,$6.53,0,Actual Sale
2024-12-09T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-09T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-09T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-10T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-10T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-10T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-10T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-10T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-11T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-11T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-11T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-11T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-11T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-12T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-12T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-12T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-12T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-12T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-13T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-13T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-13T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-13T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-13T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-14T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-14T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-14T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-14T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-14T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-15T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-15T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-15T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-15T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-15T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-16T00:00:00.000Z,Moderately Played,$6.7,0,Actual Sale
2024-12-16T00:00:00.000Z,Lightly Played,$6.53,0,Actual Sale
2024-12-16T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-16T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-16T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-17T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-17T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-17T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-17T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-17T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-18T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-18T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-18T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-18T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-18T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-19T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-19T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-19T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-19T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-19T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-20T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-20T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-20T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-20T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-20T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-21T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-21T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-21T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-21T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-21T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-22T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-22T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-22T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-22T22:00:00.367Z,Lightly Played,$6.53,0,Interpolated
2024-12-22T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-23T00:00:00.000Z,Moderately Played,$6.7,0,Actual Sale
2024-12-23T00:00:00.000Z,Lightly Played,$6.53,0,Actual Sale
2024-12-23T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-23T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-23T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-24T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-24T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-24T22:00:00.367Z,Damaged,$80,0,Interpolated
2024-12-24T22:00:00.367Z,Lightly Played,$6.55,0,Interpolated
2024-12-24T22:00:00.367Z,Heavily Played,$36.8,0,Interpolated
2024-12-25T22:00:00.367Z,Near Mint,$152.88,0,Interpolated
2024-12-25T22:00:00.367Z,Moderately Played,$6.7,0,Interpolated
2024-12-25T22:00:00.367Z,Damaged,$80,0,Interpolated
