═══ CARD INFORMATION ═══
Card Name,Mewtwo Star
Set Name,Holon Phantoms
Card Number,103/110
Rarity,Ultra Rare
TCGPlayer ID,87427
Current Market Price,$2001.98
Last Updated,2025-11-29T23:34:26.809Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Damaged,$325,1
Regular,Near Mint,$2001.98,0
Regular,Moderately Played,$789.99,1
Regular,Lightly Played,$900.89,0
Holofoil,Damaged,$325,1
Holofoil,Near Mint,$2001.98,0
Holofoil,Moderately Played,$789.99,1
Holofoil,Lightly Played,$900.89,0

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:59:07.750Z,Damaged,$265.48,0,Interpolated
2024-12-01T21:59:07.750Z,Near Mint,$1299,0,Interpolated
2024-12-01T21:59:07.750Z,Moderately Played,$275,0,Interpolated
2024-12-01T21:59:07.750Z,Lightly Played,$900.89,0,Interpolated
2024-12-02T00:00:00.000Z,Damaged,$265.48,0,Actual Sale
2024-12-02T00:00:00.000Z,Moderately Played,$275,0,Actual Sale
2024-12-02T21:59:07.750Z,Near Mint,$1299,0,Interpolated
2024-12-02T21:59:07.750Z,Lightly Played,$900.89,0,Interpolated
2024-12-03T21:59:07.750Z,Damaged,$265.48,0,Interpolated
2024-12-03T21:59:07.750Z,Near Mint,$1299,0,Interpolated
2024-12-03T21:59:07.750Z,Moderately Played,$275,0,Interpolated
2024-12-03T21:59:07.750Z,Lightly Played,$900.89,0,Interpolated
2024-12-04T21:59:07.750Z,Damaged,$265.48,0,Interpolated
2024-12-04T21:59:07.750Z,Near Mint,$1299,0,Interpolated
2024-12-04T21:59:07.750Z,Moderately Played,$275,0,Interpolated
2024-12-04T21:59:07.750Z,Lightly Played,$900.89,0,Interpolated
2024-12-05T21:59:07.750Z,Damaged,$265.48,0,Interpolated
2024-12-05T21:59:07.750Z,Near Mint,$1299,0,Interpolated
2024-12-05T21:59:07.750Z,Moderately Played,$275,0,Interpolated
2024-12-05T21:59:07.750Z,Lightly Played,$900.89,0,Interpolated
2024-12-06T21:59:07.750Z,Damaged,$265.48,0,Interpolated
2024-12-06T21:59:07.750Z,Near Mint,$1299,0,Interpolated
2024-12-06T21:59:07.750Z,Moderately Played,$275,0,Interpolated
2024-12-06T21:59:07.750Z,Lightly Played,$900.89,0,Interpolated
2024-12-07T21:59:07.750Z,Damaged,$265.48,0,Interpolated
