═══ CARD INFORMATION ═══
Card Name,Rayquaza VMAX (Secret)
Set Name,SWSH07: Evolving Skies
Card Number,217/203
Rarity,Secret Rare
TCGPlayer ID,246731
Current Market Price,$72.91
Last Updated,2025-12-01T10:54:16.213Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Near Mint,$72.91,147
Regular,Lightly Played,$46.93,16
Regular,Heavily Played,$34.44,3
Regular,Moderately Played,$38.98,2
Regular,Damaged,$32.23,3
Holofoil,Near Mint,$72.91,147
Holofoil,Lightly Played,$46.93,16
Holofoil,Heavily Played,$34.44,3
Holofoil,Moderately Played,$38.98,2
Holofoil,Damaged,$32.23,3

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:57:54.308Z,Near Mint,$46.82,0,Interpolated
2024-12-01T21:57:54.308Z,Lightly Played,$35.26,0,Interpolated
2024-12-01T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-01T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-01T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-02T21:57:54.308Z,Near Mint,$46.82,0,Interpolated
2024-12-02T21:57:54.308Z,Lightly Played,$35.26,0,Interpolated
2024-12-02T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-02T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-02T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-03T21:57:54.308Z,Near Mint,$46.82,0,Interpolated
2024-12-03T21:57:54.308Z,Lightly Played,$35.26,0,Interpolated
2024-12-03T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-03T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-03T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-04T21:57:54.308Z,Near Mint,$46.82,0,Interpolated
2024-12-04T21:57:54.308Z,Lightly Played,$35.26,0,Interpolated
2024-12-04T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-04T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-04T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-05T21:57:54.308Z,Near Mint,$46.82,0,Interpolated
2024-12-05T21:57:54.308Z,Lightly Played,$35.26,0,Interpolated
2024-12-05T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-05T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-05T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-06T21:57:54.308Z,Near Mint,$46.82,0,Interpolated
2024-12-06T21:57:54.308Z,Lightly Played,$35.26,0,Interpolated
2024-12-06T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-06T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-06T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-07T21:57:54.308Z,Near Mint,$46.82,0,Interpolated
2024-12-07T21:57:54.308Z,Lightly Played,$35.26,0,Interpolated
2024-12-07T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-07T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-07T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-08T21:57:54.308Z,Near Mint,$46.82,0,Interpolated
2024-12-08T21:57:54.308Z,Lightly Played,$35.26,0,Interpolated
2024-12-08T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-08T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-08T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-09T00:00:00.000Z,Near Mint,$46.82,7,Actual Sale
2024-12-09T00:00:00.000Z,Lightly Played,$35.26,0,Actual Sale
2024-12-09T00:00:00.000Z,Moderately Played,$22.49,0,Actual Sale
2024-12-09T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-09T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-10T21:57:54.308Z,Near Mint,$46.86,0,Interpolated
2024-12-10T21:57:54.308Z,Lightly Played,$35.17,0,Interpolated
2024-12-10T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-10T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-10T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-11T21:57:54.308Z,Near Mint,$46.88,0,Interpolated
2024-12-11T21:57:54.308Z,Lightly Played,$35.12,0,Interpolated
2024-12-11T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-11T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-11T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-12T21:57:54.308Z,Near Mint,$46.9,0,Interpolated
2024-12-12T21:57:54.308Z,Lightly Played,$35.07,0,Interpolated
2024-12-12T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-12T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-12T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-13T21:57:54.308Z,Near Mint,$46.92,0,Interpolated
2024-12-13T21:57:54.308Z,Lightly Played,$35.02,0,Interpolated
2024-12-13T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
2024-12-13T21:57:54.308Z,Moderately Played,$22.49,0,Interpolated
2024-12-13T21:57:54.308Z,Damaged,$30.99,0,Interpolated
2024-12-14T21:57:54.308Z,Near Mint,$46.94,0,Interpolated
2024-12-14T21:57:54.308Z,Lightly Played,$34.97,0,Interpolated
2024-12-14T21:57:54.308Z,Heavily Played,$29.95,0,Interpolated
