═══ CARD INFORMATION ═══
Card Name,Rocket's Mewtwo ex
Set Name,Team Rocket Returns
Card Number,99/109
Rarity,Ultra Rare
TCGPlayer ID,88778
Current Market Price,$899.99
Last Updated,2025-12-01T20:16:54.584Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Lightly Played,$799.99,1
Regular,Near Mint,$899.99,1
Regular,Damaged,$174.99,0
Regular,Heavily Played,$292.49,1
Regular,Moderately Played,$577.5,2
Holofoil,Lightly Played,$600,1
Holofoil,Near Mint,$899.99,1
Holofoil,Damaged,$174.99,0
Holofoil,Heavily Played,$292.49,1
Holofoil,Moderately Played,$577.5,2
Normal,Lightly Played,$799.99,1

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-01T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-01T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-01T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-01T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-02T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-02T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-02T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-02T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-02T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-03T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-03T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-03T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-03T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-03T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-04T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-04T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-04T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-04T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-04T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-05T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-05T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-05T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-05T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-05T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-06T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-06T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-06T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-06T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-06T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-07T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-07T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-07T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-07T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-07T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-08T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-08T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-08T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-08T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-08T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-09T00:00:00.000Z,Near Mint,$164.43,0,Actual Sale
2024-12-09T00:00:00.000Z,Damaged,$189.99,0,Actual Sale
2024-12-09T00:00:00.000Z,Heavily Played,$249.98,0,Actual Sale
2024-12-09T00:00:00.000Z,Moderately Played,$299.99,0,Actual Sale
2024-12-09T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-10T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-10T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-10T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-10T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-10T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-11T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-11T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-11T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-11T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-11T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-12T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-12T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-12T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-12T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-12T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
2024-12-13T21:59:11.252Z,Lightly Played,$799.99,0,Interpolated
2024-12-13T21:59:11.252Z,Near Mint,$164.43,0,Interpolated
2024-12-13T21:59:11.252Z,Damaged,$189.99,0,Interpolated
2024-12-13T21:59:11.252Z,Heavily Played,$249.98,0,Interpolated
2024-12-13T21:59:11.252Z,Moderately Played,$299.99,0,Interpolated
