═══ CARD INFORMATION ═══
Card Name,Surfing Pikachu
Set Name,XY - Evolutions
Card Number,111/108
Rarity,Secret Rare
TCGPlayer ID,124124
Current Market Price,$5.98
Last Updated,2025-12-01T13:36:17.097Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Near Mint,$5.98,84
Regular,Lightly Played,$5.39,60
Regular,Damaged,$1.66,3
Regular,Heavily Played,$1.7,4
Regular,Moderately Played,$3.44,17
Normal,Near Mint,$5.98,84
Normal,Lightly Played,$5.39,60
Normal,Damaged,$1.66,3
Normal,Heavily Played,$1.7,4
Normal,Moderately Played,$3.44,17

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:58:26.724Z,Near Mint,$2.78,0,Interpolated
2024-12-01T21:58:26.724Z,Lightly Played,$2.38,0,Interpolated
2024-12-01T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-01T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-01T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-02T21:58:26.724Z,Near Mint,$2.78,0,Interpolated
2024-12-02T21:58:26.724Z,Lightly Played,$2.38,0,Interpolated
2024-12-02T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-02T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-02T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-03T21:58:26.724Z,Near Mint,$2.78,0,Interpolated
2024-12-03T21:58:26.724Z,Lightly Played,$2.38,0,Interpolated
2024-12-03T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-03T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-03T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-04T21:58:26.724Z,Near Mint,$2.78,0,Interpolated
2024-12-04T21:58:26.724Z,Lightly Played,$2.38,0,Interpolated
2024-12-04T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-04T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-04T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-05T21:58:26.724Z,Near Mint,$2.78,0,Interpolated
2024-12-05T21:58:26.724Z,Lightly Played,$2.38,0,Interpolated
2024-12-05T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-05T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-05T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-06T21:58:26.724Z,Near Mint,$2.78,0,Interpolated
2024-12-06T21:58:26.724Z,Lightly Played,$2.38,0,Interpolated
2024-12-06T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-06T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-06T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-07T21:58:26.724Z,Near Mint,$2.78,0,Interpolated
2024-12-07T21:58:26.724Z,Lightly Played,$2.38,0,Interpolated
2024-12-07T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-07T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-07T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-08T21:58:26.724Z,Near Mint,$2.78,0,Interpolated
2024-12-08T21:58:26.724Z,Lightly Played,$2.38,0,Interpolated
2024-12-08T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-08T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-08T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-09T00:00:00.000Z,Near Mint,$2.78,16,Actual Sale
2024-12-09T00:00:00.000Z,Lightly Played,$2.38,9,Actual Sale
2024-12-09T00:00:00.000Z,Damaged,$0.86,0,Actual Sale
2024-12-09T00:00:00.000Z,Heavily Played,$1.2,0,Actual Sale
2024-12-09T00:00:00.000Z,Moderately Played,$1.44,0,Actual Sale
2024-12-10T21:58:26.724Z,Near Mint,$2.86,0,Interpolated
2024-12-10T21:58:26.724Z,Lightly Played,$2.41,0,Interpolated
2024-12-10T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-10T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-10T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-11T21:58:26.724Z,Near Mint,$2.91,0,Interpolated
2024-12-11T21:58:26.724Z,Lightly Played,$2.43,0,Interpolated
2024-12-11T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-11T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-11T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-12T21:58:26.724Z,Near Mint,$2.95,0,Interpolated
2024-12-12T21:58:26.724Z,Lightly Played,$2.44,0,Interpolated
2024-12-12T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-12T21:58:26.724Z,Heavily Played,$1.21,0,Interpolated
2024-12-12T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-13T21:58:26.724Z,Near Mint,$3,0,Interpolated
2024-12-13T21:58:26.724Z,Lightly Played,$2.46,0,Interpolated
2024-12-13T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-13T21:58:26.724Z,Heavily Played,$1.21,0,Interpolated
2024-12-13T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-14T21:58:26.724Z,Near Mint,$3.04,0,Interpolated
2024-12-14T21:58:26.724Z,Lightly Played,$2.47,0,Interpolated
2024-12-14T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-14T21:58:26.724Z,Heavily Played,$1.21,0,Interpolated
2024-12-14T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-15T21:58:26.724Z,Near Mint,$3.09,0,Interpolated
2024-12-15T21:58:26.724Z,Lightly Played,$2.49,0,Interpolated
2024-12-15T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-15T21:58:26.724Z,Heavily Played,$1.21,0,Interpolated
2024-12-15T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-16T00:00:00.000Z,Near Mint,$3.09,40,Actual Sale
2024-12-16T00:00:00.000Z,Lightly Played,$2.49,12,Actual Sale
2024-12-16T00:00:00.000Z,Damaged,$0.86,0,Actual Sale
2024-12-16T00:00:00.000Z,Heavily Played,$1.21,1,Actual Sale
2024-12-16T00:00:00.000Z,Moderately Played,$1.44,0,Actual Sale
2024-12-17T21:58:26.724Z,Near Mint,$3.2,0,Interpolated
2024-12-17T21:58:26.724Z,Lightly Played,$2.43,0,Interpolated
2024-12-17T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-17T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-17T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-18T21:58:26.724Z,Near Mint,$3.26,0,Interpolated
2024-12-18T21:58:26.724Z,Lightly Played,$2.4,0,Interpolated
2024-12-18T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-18T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-18T21:58:26.724Z,Moderately Played,$1.44,0,Interpolated
2024-12-19T21:58:26.724Z,Near Mint,$3.32,0,Interpolated
2024-12-19T21:58:26.724Z,Lightly Played,$2.37,0,Interpolated
2024-12-19T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-19T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-19T21:58:26.724Z,Moderately Played,$1.43,0,Interpolated
2024-12-20T21:58:26.724Z,Near Mint,$3.38,0,Interpolated
2024-12-20T21:58:26.724Z,Lightly Played,$2.34,0,Interpolated
2024-12-20T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-20T21:58:26.724Z,Heavily Played,$1.2,0,Interpolated
2024-12-20T21:58:26.724Z,Moderately Played,$1.43,0,Interpolated
2024-12-21T21:58:26.724Z,Near Mint,$3.44,0,Interpolated
2024-12-21T21:58:26.724Z,Lightly Played,$2.3,0,Interpolated
2024-12-21T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-21T21:58:26.724Z,Heavily Played,$1.19,0,Interpolated
2024-12-21T21:58:26.724Z,Moderately Played,$1.43,0,Interpolated
2024-12-22T21:58:26.724Z,Near Mint,$3.5,0,Interpolated
2024-12-22T21:58:26.724Z,Lightly Played,$2.27,0,Interpolated
2024-12-22T21:58:26.724Z,Damaged,$0.86,0,Interpolated
2024-12-22T21:58:26.724Z,Heavily Played,$1.19,0,Interpolated
2024-12-22T21:58:26.724Z,Moderately Played,$1.43,0,Interpolated
2024-12-23T00:00:00.000Z,Near Mint,$3.5,20,Actual Sale
2024-12-23T00:00:00.000Z,Lightly Played,$2.27,6,Actual Sale
2024-12-23T00:00:00.000Z,Damaged,$0.86,0,Actual Sale
2024-12-23T00:00:00.000Z,Heavily Played,$1.19,1,Actual Sale
2024-12-23T00:00:00.000Z,Moderately Played,$1.43,4,Actual Sale
2024-12-24T21:58:26.724Z,Near Mint,$3.57,0,Interpolated
2024-12-24T21:58:26.724Z,Lightly Played,$2.25,0,Interpolated
