═══ CARD INFORMATION ═══
Card Name,Umbreon VMAX (Alternate Art Secret)
Set Name,Evolving Skies
Card Number,215/203
Rarity,Secret Rare
TCGPlayer ID,246723
Current Market Price,$2133.66
Last Updated,2025-11-30T02:41:23.425Z

═══ CURRENT PRICES BY CONDITION ═══
Variant,Condition,Price,Available Listings
Regular,Damaged,$710,3
Regular,Near Mint,$2133.66,80
Regular,Moderately Played,$1157.94,4
Regular,Lightly Played,$1283.67,13
Regular,Heavily Played,$1029.99,1
Holofoil,Damaged,$710,3
Holofoil,Near Mint,$2133.66,80
Holofoil,Moderately Played,$1157.94,4
Holofoil,Lightly Played,$1283.67,13
Holofoil,Heavily Played,$1029.99,1

═══ PRICE HISTORY (ALL CONDITIONS) ═══
Date,Condition,Price,Sales Volume,Data Type
2024-12-01T21:57:50.331Z,Damaged,$566.33,0,Interpolated
2024-12-01T21:57:50.331Z,Near Mint,$1405.8,0,Interpolated
2024-12-01T21:57:50.331Z,Moderately Played,$635.23,0,Interpolated
2024-12-01T21:57:50.331Z,Lightly Played,$820.39,0,Interpolated
2024-12-01T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-02T00:00:00.000Z,Damaged,$566.33,1,Actual Sale
2024-12-02T00:00:00.000Z,Near Mint,$1405.8,10,Actual Sale
2024-12-02T00:00:00.000Z,Moderately Played,$635.23,0,Actual Sale
2024-12-02T00:00:00.000Z,Lightly Played,$820.39,0,Actual Sale
2024-12-02T00:00:00.000Z,Heavily Played,$295.7,0,Actual Sale
2024-12-03T21:57:50.331Z,Damaged,$600.03,0,Interpolated
2024-12-03T21:57:50.331Z,Near Mint,$1398.84,0,Interpolated
2024-12-03T21:57:50.331Z,Moderately Played,$635.23,0,Interpolated
2024-12-03T21:57:50.331Z,Lightly Played,$840.87,0,Interpolated
2024-12-03T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-04T21:57:50.331Z,Damaged,$617.62,0,Interpolated
2024-12-04T21:57:50.331Z,Near Mint,$1395.2,0,Interpolated
2024-12-04T21:57:50.331Z,Moderately Played,$635.23,0,Interpolated
2024-12-04T21:57:50.331Z,Lightly Played,$851.57,0,Interpolated
2024-12-04T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-05T21:57:50.331Z,Damaged,$635.22,0,Interpolated
2024-12-05T21:57:50.331Z,Near Mint,$1391.57,0,Interpolated
2024-12-05T21:57:50.331Z,Moderately Played,$635.23,0,Interpolated
2024-12-05T21:57:50.331Z,Lightly Played,$862.27,0,Interpolated
2024-12-05T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-06T21:57:50.331Z,Damaged,$652.82,0,Interpolated
2024-12-06T21:57:50.331Z,Near Mint,$1387.93,0,Interpolated
2024-12-06T21:57:50.331Z,Moderately Played,$635.23,0,Interpolated
2024-12-06T21:57:50.331Z,Lightly Played,$872.96,0,Interpolated
2024-12-06T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-07T21:57:50.331Z,Damaged,$670.41,0,Interpolated
2024-12-07T21:57:50.331Z,Near Mint,$1384.29,0,Interpolated
2024-12-07T21:57:50.331Z,Moderately Played,$635.23,0,Interpolated
2024-12-07T21:57:50.331Z,Lightly Played,$883.66,0,Interpolated
2024-12-07T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-08T21:57:50.331Z,Damaged,$688.01,0,Interpolated
2024-12-08T21:57:50.331Z,Near Mint,$1380.66,0,Interpolated
2024-12-08T21:57:50.331Z,Moderately Played,$635.23,0,Interpolated
2024-12-08T21:57:50.331Z,Lightly Played,$894.35,0,Interpolated
2024-12-08T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-09T00:00:00.000Z,Damaged,$689.5,0,Actual Sale
2024-12-09T00:00:00.000Z,Near Mint,$1380.35,13,Actual Sale
2024-12-09T00:00:00.000Z,Moderately Played,$635.23,0,Actual Sale
2024-12-09T00:00:00.000Z,Lightly Played,$895.26,1,Actual Sale
2024-12-09T00:00:00.000Z,Heavily Played,$295.7,0,Actual Sale
2024-12-10T21:57:50.331Z,Damaged,$689.5,0,Interpolated
2024-12-10T21:57:50.331Z,Near Mint,$1385.52,0,Interpolated
2024-12-10T21:57:50.331Z,Moderately Played,$637.58,0,Interpolated
2024-12-10T21:57:50.331Z,Lightly Played,$916.96,0,Interpolated
2024-12-10T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-11T21:57:50.331Z,Damaged,$689.5,0,Interpolated
2024-12-11T21:57:50.331Z,Near Mint,$1388.22,0,Interpolated
2024-12-11T21:57:50.331Z,Moderately Played,$638.81,0,Interpolated
2024-12-11T21:57:50.331Z,Lightly Played,$928.29,0,Interpolated
2024-12-11T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-12T21:57:50.331Z,Damaged,$689.5,0,Interpolated
2024-12-12T21:57:50.331Z,Near Mint,$1390.92,0,Interpolated
2024-12-12T21:57:50.331Z,Moderately Played,$640.04,0,Interpolated
2024-12-12T21:57:50.331Z,Lightly Played,$939.62,0,Interpolated
2024-12-12T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-13T21:57:50.331Z,Damaged,$689.5,0,Interpolated
2024-12-13T21:57:50.331Z,Near Mint,$1393.61,0,Interpolated
2024-12-13T21:57:50.331Z,Moderately Played,$641.27,0,Interpolated
2024-12-13T21:57:50.331Z,Lightly Played,$950.95,0,Interpolated
2024-12-13T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-14T21:57:50.331Z,Damaged,$689.5,0,Interpolated
2024-12-14T21:57:50.331Z,Near Mint,$1396.31,0,Interpolated
2024-12-14T21:57:50.331Z,Moderately Played,$642.5,0,Interpolated
2024-12-14T21:57:50.331Z,Lightly Played,$962.28,0,Interpolated
2024-12-14T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-15T21:57:50.331Z,Damaged,$689.5,0,Interpolated
2024-12-15T21:57:50.331Z,Near Mint,$1399.01,0,Interpolated
2024-12-15T21:57:50.331Z,Moderately Played,$643.73,0,Interpolated
2024-12-15T21:57:50.331Z,Lightly Played,$973.61,0,Interpolated
2024-12-15T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-16T00:00:00.000Z,Damaged,$689.5,0,Actual Sale
2024-12-16T00:00:00.000Z,Near Mint,$1399.24,16,Actual Sale
2024-12-16T00:00:00.000Z,Moderately Played,$643.83,0,Actual Sale
2024-12-16T00:00:00.000Z,Lightly Played,$974.57,1,Actual Sale
2024-12-16T00:00:00.000Z,Heavily Played,$295.7,0,Actual Sale
2024-12-17T21:57:50.331Z,Damaged,$659.68,0,Interpolated
2024-12-17T21:57:50.331Z,Near Mint,$1400.09,0,Interpolated
2024-12-17T21:57:50.331Z,Moderately Played,$643.83,0,Interpolated
2024-12-17T21:57:50.331Z,Lightly Played,$988.43,0,Interpolated
2024-12-17T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-18T21:57:50.331Z,Damaged,$644.11,0,Interpolated
2024-12-18T21:57:50.331Z,Near Mint,$1400.53,0,Interpolated
2024-12-18T21:57:50.331Z,Moderately Played,$643.83,0,Interpolated
2024-12-18T21:57:50.331Z,Lightly Played,$995.67,0,Interpolated
2024-12-18T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-19T21:57:50.331Z,Damaged,$628.54,0,Interpolated
2024-12-19T21:57:50.331Z,Near Mint,$1400.97,0,Interpolated
2024-12-19T21:57:50.331Z,Moderately Played,$643.83,0,Interpolated
2024-12-19T21:57:50.331Z,Lightly Played,$1002.91,0,Interpolated
2024-12-19T21:57:50.331Z,Heavily Played,$295.7,0,Interpolated
2024-12-20T21:57:50.331Z,Damaged,$612.96,0,Interpolated
2024-12-20T21:57:50.331Z,Near Mint,$1401.42,0,Interpolated
2024-12-20T21:57:50.331Z,Moderately Played,$643.83,0,Interpolated
2024-12-20T21:57:50.331Z,Lightly Played,$1010.15,0,Interpolated
